spot_id,name,lat,lon,ncei_depth_m,google_depth_m,google_raw_elev,google_resolution_m,diff_m,pct_diff
oahu-chinaman-hat,Chinaman's Hat (Mokoli'i),21.505,-157.84,1.36,0.88,-0.88,76.35,0.49,43.3
oahu-punaluu,Punaluu,21.58441,-157.884,2.01,0.92,-0.92,76.35,1.09,74.6
oahu-hauula,Hauula Beach,21.612646,-157.905776,12.78,8.02,-8.02,76.35,4.76,45.7
oahu-goat-island,Goat Island (Moku'auia),21.67,-157.929,8.14,7.57,-7.57,76.35,0.57,7.2
oahu-kahuku-point,Kahuku Point,21.714518,-157.974,10.89,9.38,-9.38,76.35,1.51,14.9
eleuthera-rock-sound-blue-hole,Rock Sound Blue Hole,24.8833,-76.188081,76.0,0,0,610.81,76.0,200.0
bigisland-honokohau-harbor,Honokohau Harbor,19.67,-156.033663,98.46,63.24,-63.24,152.7,35.22,43.6
bigisland-kikaua-point,Kikaua Point,19.81,-156.011,13.1,5.6,-5.6,76.35,7.5,80.2
bigisland-makalawena,Makalawena Beach,19.83941,-155.986,21.3,15.92,-15.92,76.35,5.38,28.9
bigisland-kawaihae-harbor,Kawaihae Harbor,20.035,-155.83,10.94,2.33,-2.33,76.35,8.61,129.7
nassau-goulding-cay,Goulding Cay,25.0333,-77.5667,14.68,1.59,-1.59,610.81,13.09,160.8
oahu-malaekahana,Malaekahana Bay,21.665,-157.934,2.71,0.06,-0.06,76.35,2.66,191.8
bigisland-two-step,Two Step (Honaunau),19.42117,-155.915061,27.28,0.91,-0.91,76.35,26.37,187.1
bigisland-wawaloli,Wawaloli Beach,19.715,-156.051,16.31,1.25,-1.25,76.35,15.06,171.5
abaco-walkers-cay,Walker's Cay,27.2667,-78.4,9.0,7.14,-7.14,152.7,1.86,23.1
oahu-kahana-bay,Kahana Bay,21.560417,-157.874,1.39,0.23,-0.23,76.35,1.16,142.5
bigisland-hapuna,Hapuna Beach,19.977354,-155.834135,7.07,1.99,-1.99,76.35,5.08,112.2
cali-catalina-casino-point,Casino Point (Catalina),33.35,-118.325,20.41,8.38,-8.38,19.09,12.03,83.6
sardinia-maddalena,La Maddalena Archipelago,41.211695,9.4167,4.0,0,0,610.81,4.0,200.0
italy-elba-north,Elba Island - North,42.817117,10.2667,35.0,0,0,610.81,35.0,200.0
spain-mallorca-dragonera-west,Dragonera - West,39.5883,2.3017,42.0,2.78,-2.78,610.81,39.22,175.2
sardinia-capo-caccia,Capo Caccia,40.56,8.16,49.0,0,0,610.81,49.0,200.0
cali-santa-barbara-island-west,Santa Barbara Island - West,33.4867,-119.0275,5.75,9.99,-9.99,4.77,-4.24,-53.9
keys-davis-reef,Davis Reef,24.9244,-80.5028,12.3,7.33,-7.33,152.7,4.97,50.7
keys-carysfort-reef,Carysfort Reef,25.2228,-80.2114,4.02,1.72,-1.72,610.81,2.3,80.3
keys-spiegel-grove,USS Spiegel Grove,25.0628,-80.3086,39.4,40.91,-40.91,152.7,-1.51,-3.8
maui-kahului-harbor,Kahului Harbor,20.9,-156.47,6.12,-0.27,0.27,76.35,6.39,218.8
keys-pickles-reef,Pickles Reef,24.9858,-80.4131,6.9,11.98,-11.98,76.35,-5.08,-53.8
maldives-hanifaru-bay,Hanifaru Bay,5.25,73.0833,47.0,8.47,-8.47,610.81,38.53,138.9
